name,rating,n,link,director,star_1,star_2,star_3,synopsis
Cinema Paradiso,8.4,"253,940",https://www.imdb.com//title/tt0095765/,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,"In the 1950s, a young boy named Salvatore Di Vita grows up in the village of Giancaldo, Sicily, where he develops a love for film. Salvatore befriends the projectionist at the local cinema, Cinema Paradiso, and begins to help him with his work. As Salvatore grows older, he falls in love with the cinema owner's daughter, Elena, but she is soon married off to a wealthy man and moves away. Salvatore leaves Giancaldo to pursue a career in filmmaking, but returns to the village years later when he learns that the cinema is in danger of being demolished. Salvatore works to restore the cinema to its former glory and brings Elena back to the village for a final screening of one of their old films."
Memento,8.4,"1,204,683",https://www.imdb.com//title/tt0209144/,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,"Memento is a movie about a man named Leonard who has a condition that doesn't allow him to form new memories. He uses Polaroids and notes to keep track of his life, and is on a mission to find the man who killed his wife. Leonard's condition makes the movie very interesting and unique, as it is told in a non-linear fashion."
Apocalypse Now,8.4,"649,428",https://www.imdb.com//title/tt0078788/,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,"In the Vietnam War, Captain Benjamin Willard is sent on a dangerous mission to kill Colonel Walter Kurtz, a renegade Army officer who has gone insane. Willard's journey takes him upriver into the heart of the Cambodian jungle, where he must confront the horrors of war. Along the way, he is aided by a U.S. Army helicopter pilot named Colonel Kilgore."
Indiana Jones and the Raiders of the Lost Ark,8.4,"941,605",https://www.imdb.com//title/tt0082971/,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,"In 1936, Indiana Jones â an archaeologist and adventurer known as a "" obtains a clue to the location of the Ark of the Covenant, which is believed to have magical powers. The Ark is the key to the survival of the human race, and Jones has to find it before the Nazis.Jones teams up with Marion Ravenwood, a former lover of his, and they set out on a dangerous journey to find the Ark. They are pursued by the Nazis, led by Jones's arch-rival RenÃ© Belloq, and by snakes, booby traps, and other deadly hazards.After a long and perilous quest, Jones finally finds the Ark, but Belloq and the Nazis steal it from him. Jones then has to face the ultimate test â he has to go into the Nazi stronghold and retrieve the Ark before it can be used to destroy the world. Indiana Jones and the Raiders of the Lost Ark is a classic adventure movie, full of excitement, suspense, and humor. Harrison Ford is perfect as the fearless and resourceful Jones, and the film's special effects are still impressive today."
Django Unchained,8.4,"1,490,405",https://www.imdb.com//title/tt1853728/,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,"Django is a slave who is freed by Dr. King Schultz, a German bounty hunter. Schultz is looking for the Brittle brothers, and he needs Django's help to find them. Django is happy to help, because he wants to find his wife, Broomhilda, who was sold to a plantation owner.They find the Brittle brothers and kill them. Schultz keeps his promise to Django and helps him find Broomhilda. But they are pursued by the plantation owner, Calvin Candie, and his henchmen. In the end, Django and Schultz kill Candie and rescue Broomhilda."
WALLÂ·E,8.4,"1,080,885",https://www.imdb.com//title/tt0910970/,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,"In the year 2805, the last trash compactor on Earth, WALLÂ·E, is still doing his job, compressing trash into cubes. One day, he finds a plant, and his life changes forever. WALLÂ·E falls in love with a sleek, modern robot named EVE, and follows her across the galaxy on a grand adventure to find out if there is still life on Earth. Along the way, WALLÂ·E and EVE discover the true meaning of love, and save the planet from destruction."
The Lives of Others,8.4,"382,510",https://www.imdb.com//title/tt0405094/,Florian Henckel von Donnersmarck,Ulrich MÃ¼he,Martina Gedeck,Sebastian Koch,"The Lives of Others is a 2006 German drama film, directed by Florian Henckel von Donnersmarck. The film won the Academy Award for Best Foreign Language Film at the 80th Academy Awards. The title refers to the surveillance of East German citizens by agents of the Stasi, the East German secret police, during the Cold War."
Sunset Blvd.,8.4,"217,125",https://www.imdb.com//title/tt0043014/,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,"A washed up Hollywood movie star falls in love with a young, aspiring screenwriter. She convinces him to move in with her, and he quickly realizes that she is completely delusional and living in a fantasy world. She is obsessed with her past glory and refuses to let go of it. The screenwriter tries to help her come to terms with reality, but she is unwilling to let go of her fantasy world and eventually drives him away."
Paths of Glory,8.4,"192,857",https://www.imdb.com//title/tt0050825/,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,"The movie Paths of Glory is set during World War I and follows the story of French general Georges Boulanger. Boulanger is tasked with leading his troops into battle against the Germans, but the battle quickly turns into a disaster. Boulanger is blamed for the loss and is court-martialed. However, Boulanger's men stand by him and refuse to let him be executed. The movie ends with Boulanger's men marching off to battle, knowing that they may not return."
The Shining,8.4,"982,075",https://www.imdb.com//title/tt0081505/,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,"A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
The Great Dictator,8.4,"219,652",https://www.imdb.com//title/tt0032553/,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,"The Great Dictator is a satirical film about Adolf Hitler and the Nazi regime. The film follows the rise of Hitler and the Nazi party, and their eventual fall from power. The film is a parody of Nazi Germany, and its propaganda machine. The film was directed by Charlie Chaplin, and starred Chaplin himself as Hitler."
Witness for the Prosecution,8.4,"121,721",https://www.imdb.com//title/tt0051201/,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,"When Leonard Vole is accused of murdering a wealthy widow, he must rely on his lawyer, Sir Wilfrid Robarts, to prove his innocence. Sir Wilfrid is known for his ability to get his clients off, but he is also known for his poor health. As the trial progresses, it becomes clear that Sir Wilfrid is not as strong as he used to be. Leonard's wife, Romaine, is also on trial for perjury. She is the only one who can clear Leonard's name, but she is unwilling to do so. The prosecutor, Sir Wilfrid, and Leonard's wife all have something to hide. The question is, who will be the witness for the prosecution?"
Avengers: Infinity War,8.4,"1,006,370",https://www.imdb.com//title/tt4154756/,Anthony Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,"Avengers: Infinity War is a 2018 superhero film based on the Marvel Comics superhero team the Avengers. The film is the sequel to The Avengers (2012) and Avengers: Age of Ultron (2015), and the nineteenth film in the Marvel Cinematic Universe (MCU). The film was directed by Anthony and Joe Russo, written by Christopher Markus and Stephen McFeely, and features an ensemble cast including Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Josh Brolin, and Chris Pratt. In Avengers: Infinity War, the Avengers and the Guardians of the Galaxy attempt to stop Thanos from collecting the Infinity Stones."
Aliens,8.3,"698,017",https://www.imdb.com//title/tt0090605/,James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,"The movie Aliens is about a group of soldiers who are sent to investigate a distress call on a remote planet. When they get there, they are attacked by a group of aliens who are trying to kill them. The soldiers are able to fight back and eventually kill all of the aliens."
American Beauty,8.3,"1,130,049",https://www.imdb.com//title/tt0169547/,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,"Lester Burnham, a middle-aged man, is unhappy with his life. He is married to Carolyn, a materialistic woman who is having an affair with a real estate agent. Lester's teenage daughter, Jane, is embarrassed by her father and does not want anything to do with him. Lester's son, Ricky, is a troubled teenager who is fascinated by Lester's behavior.Lester begins to change his life after he meets his new neighbor, Angela. He becomes infatuated with her and starts to work out, quit his job, and smoke marijuana. Lester's behavior shocks his family and angers Carolyn. However, Ricky is supportive of Lester's new lifestyle and the two become friends.As Lester becomes more comfortable with his new life, he starts to act out in ways that he never would have before. He has an affair with Angela and begins to stalk her. Lester's behavior culminates in him filming Angela in the shower and masturbating to the footage.Lester's life spirals out of control and he eventually dies. His death is a turning point for his family. Carolyn realizes that she was never really happy in her marriage. Jane comes to terms with her father's death and Ricky finds a new sense of purpose."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,"479,232",https://www.imdb.com//title/tt0057012/,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Dr. Strangelove is a black comedy about the Cold War. The story centers on a group of American military and political leaders who are trying to stop a rogue general from launching a nuclear attack on the Soviet Union. The film satirizes the American government's policies and the way that the media portrays the Cold War.
The Dark Knight Rises,8.3,"1,647,416",https://www.imdb.com//title/tt1345836/,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,"Eight years after the death of District Attorney Harvey Dent, Batman has disappeared. Bruce Wayne is now a recluse, living in seclusion in Wayne Manor. A new terrorist leader, Bane, overwhelzes Gotham's complete destruction. Batman must return to save Gotham."
Spider-Man: Into the Spider-Verse,8.3,"485,851",https://www.imdb.com//title/tt4633694/,Bob Persichetti,Shameik Moore,Jake Johnson,Hailee Steinfeld,"The movie is set in a universe where there are multiple Spider-People. The story follows Miles Morales, a teenager who becomes the Spider-Man of his universe after being bitten by a radioactive spider. When a villain threatens the safety of Miles and the other Spider-People, they must work together to stop him."
Joker,8.3,"1,182,816",https://www.imdb.com//title/tt7286456/,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,The Joker is about a man who is struggling with mental health issues. He turns to a life of crime to make ends meet. The Joker is a dark and disturbing character who is both loved and hated by the people of Gotham City.
Oldboy,8.3,"560,441",https://www.imdb.com//title/tt0364569/,Park Chan-wook,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,"Oldboy is a 2013 American action thriller film directed by Spike Lee and written by Mark Protosevich. The film stars Josh Brolin, Elizabeth Olsen, Sharlto Copley, Samuel L. Jackson, and James Ransone. It is a remake of the 2003 South Korean film of the same name.Joe Doucett (Josh Brolin) is a drunken, womanizing advertising executive who is abducted and imprisoned in a shabby hotel room for twenty years without explanation. When he is suddenly released, he embarks on a vengeful quest to find his tormentor. He is aided by Marie Sebastian (Elizabeth Olsen), a young woman who has her own dark secrets.As he gets closer to the truth, Joe discovers that his imprisonment was part of a much larger conspiracy, and that the people responsible are far more powerful than he ever could have imagined. Oldboy is a stylish, violent, and often brutal film that ultimately delivers a satisfying conclusion to its twisty story."
Braveheart,8.3,"1,015,023",https://www.imdb.com//title/tt0112573/,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,"The film tells the story of William Wallace, a 13th-century Scottish warrior who led the Scots in the First War of Scottish Independence against England. Wallace's father and brother are killed by the English, and Wallace himself is captured and put on trial for treason. He is executed, but his death sparks a rebellion among the Scottish people. Wallace's girlfriend, Murron, is also killed by the English, and Wallace vows revenge. He gathers an army and leads the Scots in a series of battles against the English, culminating in the Battle of Stirling Bridge. The Scots are victorious, but Wallace is betrayed by one of his own men and captured by the English. He is brought to London and put on trial again, this time for treason against the English crown. He is found guilty and executed, but his death inspires the Scots to continue fighting for their independence."
Amadeus,8.3,"392,730",https://www.imdb.com//title/tt0086879/,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,"The film tells the story of Wolfgang Amadeus Mozart from the perspective of his jealous contemporary, Antonio Salieri. Salieri is an older composer who has been Court Composer to the Holy Roman Emperor for many years. When Mozart comes to Vienna, Salieri is immediately impressed by his genius, and believes that Mozart is a direct instrument of God. However, Salieri is also jealous of Mozart's success, and plots to destroy him.The film chronicles the rivalry between Salieri and Mozart, as Salieri tries to sabotage Mozart's career while struggling with his own feelings of inadequacy. As Mozart's health deteriorates, Salieri is haunted by his own actions, and ultimately confesses his crimes to a priest."
Toy Story,8.3,"960,837",https://www.imdb.com//title/tt0114709/,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,"When Woody, a pullstring cowboy doll, is stolen by a greedy toy collector named Al, Buzz Lightyear, an astronaut action figure, and the other toys in Andy's room must come to the rescue. They embark on a daring mission to save their friend and get him back to Andy's room before Andy's birthday party. Along the way, the toys encounter many obstacles, including a terrifying dog, a sadistic next-door neighbor, and a ruthless toy collector. But with the help of some new friends, they just might be able to pull off the greatest rescue mission in toy history."
The Boat,8.3,"246,608",https://www.imdb.com//title/tt0082096/,Wolfgang Petersen,JÃ¼rgen Prochnow,Herbert GrÃ¶nemeyer,Klaus Wennemann,"When the SS takes control of a small town in Norway, the residents are forced to work in a factory that produces German war supplies. The town's children are also taken away and sent to a Nazi school. One resident, a fisherman, decides to build a boat and sail away to freedom. With the help of his wife and son, he completes the boat and sets sail. However, the SS soon discovers their escape plan and sends a ship to stop them. In a dramatic chase, the fisherman and his family are able to outrun the Nazis and reach freedom."
Coco,8.3,"474,233",https://www.imdb.com//title/tt2380307/,Lee Unkrich,Anthony Gonzalez,Gael GarcÃ­a Bernal,Benjamin Bratt,"In the movie Coco, twelve-year-old Miguel Rivera is accidentally transported to the land of the dead, where he seeks the help of his deceased musician great-great-grandfather to return him to his family among the living."
Inglourious Basterds,8.3,"1,390,030",https://www.imdb.com//title/tt0361748/,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,"In the opening scene, Colonel Hans Landa of the SS interrogates French dairy farmer Perrier LaPadite about the whereabouts of the Dreyfus family. LaPadite tells Landa that the Dreyfuses have fled to London, and Landa leaves.In London, British Lieutenant Archie Hicox is meeting with intelligence officer Lt. General Edward Smith-Dorrien. Hicox is assigned to infiltrate a German pub in Paris and kill Nazis, with the help of the British First Army.Meanwhile, in Paris, Shosanna Dreyfus witnesses the brutal execution of her family at the hands of Colonel Landa. Shosanna manages to escape and flees to a cinema where she takes refuge.Under the alias ""Emmanuelle Mimieux"", Shosanna becomes the owner and projectionist of the cinema.In the meantime, Lieutenant Hicox and a team of British soldiers pose as German soldiers in order to infiltrate the pub in Paris. However, their cover is blown and a shootout ensues, in which Hicox and all the British soldiers are killed. Colonel Landa arrives at the pub and interrogates the sole surviving British soldier, Private First Class Aldo Raine. Raine tells Landa about ""The Basterds"", a group of Jewish-American soldiers who are on a mission to kill as many Nazis as possible.Landa then goes to the cinema where Shosanna is working. He flirts with her and asks her out on a date, but she refuses.Later, the Basterds, led by Aldo Raine, carry out a massacre of Italian soldiers in a small town in the Alps. They then scalping their victims and carving swastikas into their foreheads.The Basterds then plan to assassinate Nazi leaders at a big movie premiere in Paris, which Shosanna is scheduled to attend.At the premiere, Shosanna is horrified to see Colonel Landa in attendance. However, she goes through with her plan and sets the cinema on fire, killing everyone inside, including the Nazi leaders.In the final scene, Aldo Raine and his men track down Colonel Landa to a house in the woods. Landa pleads for his life, but Raine orders his men to kill him."
Princess Mononoke,8.3,"380,756",https://www.imdb.com//title/tt0119698/,Hayao Miyazaki,YÃ´ji Matsuda,Yuriko Ishida,YÃ»ko Tanaka,"A young woman named San, who was raised by wolves, finds herself in the middle of a battle between the forest Gods and the humans who want to destroy the forest. San must choose sides in the battle and find out who she really is."
Once Upon a Time in America,8.3,"341,905",https://www.imdb.com//title/tt0087843/,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,"In the early 1900s, a young immigrant named Noodles arrives in New York City with nothing but the clothes on his back. He quickly falls in with a group of other young immigrants, and together they make a life for themselves on the mean streets of the city.As the years go by, Noodles and his friends rise up in the criminal underworld, becoming powerful gangsters. But just as they are on the verge of achieving their dreams, tragedy strikes, threatening to destroy everything they have built.Once Upon a Time in America is the epic story of Noodles and his friends, and of the city that shaped them. It is a sweeping tale of love, loss, betrayal, and redemption that is both heartbreaking and ultimately hopeful."
Avengers: Endgame,8.3,"1,042,693",https://www.imdb.com//title/tt4154796/,Anthony Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"The Avengers: Endgame is a 2019 American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the direct sequel to The Avengers (2012) and Avengers: Age of Ultron (2015), and the 22nd film in the Marvel Cinematic Universe (MCU). The film was directed by Anthony and Joe Russo, written by Christopher Markus and Stephen McFeely, and features an ensemble cast including Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Bradley Cooper, and Josh Brolin. In Avengers: Endgame, the Avengers and their allies attempt to reverse the damage caused by Thanos in Infinity War.The film was announced in October 2014 as Avengers: Infinity War â Part 2. The Russo brothers came on board as directors in April 2015, and by May, Markus and McFeely signed on to write the script for the film. In July 2016, Marvel shortened the title to Avengers: Infinity War. Filming began in August 2017 at Pinewood Atlanta Studios in Fayette County, Georgia, and lasted until January 2018. Additional filming took place in the United Kingdom, the United States, and New Zealand."
Good Will Hunting,8.3,"934,955",https://www.imdb.com//title/tt0119217/,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,"Genius Will Hunting has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Requiem for a Dream,8.3,"819,041",https://www.imdb.com//title/tt0180093/,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,"The film tells the story of four people whose lives are ravaged by drug addiction. Harry Goldfarb is a young man who dreams of making it big as a filmmaker, but his drug use gets in the way. His girlfriend Marion Silver is also addicted to drugs, and she turns to prostitution to support her habit. Harry's mother Sara is addicted to diet pills, and she becomes increasingly obsessed with losing weight. Lastly, Harry's friend Tyrone C. Love is a heroin addict who turns to crime to support his habit. The film follows the descent of each character into their own personal hells as their addictions take over their lives."
Toy Story 3,8.3,"811,654",https://www.imdb.com//title/tt0435761/,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Singin' in the Rain,8.3,"236,415",https://www.imdb.com//title/tt0045152/,Stanley Donen,Gene Kelly,Donald O'Connor,Debbie Reynolds,"The film is set in Hollywood, 1927, the height of the silent film era. Don Lockwood is a famous silent film star with a great voice, but no one knows it. Cosmo Brown is his best friend and pianist. One day, Don and Cosmo witness the premiere of a new talking picture, The Jazz Singer. They are both unimpressed.Don's next film, The Royal Rascal, is being released as a silent film, but Don is supposed to do a screen test for the talkies. Don is nervous and his voice is terrible, but the studio head, R.F. Simpson, decides to release the film as a silent anyway.Don's leading lady in The Royal Rascal is the beautiful but vapid Lina Lamont. Lina is furious when she finds out the film is being released as a silent, and she demands that Don do something to make her look good.Don's solution is to have Cosmo dub Lina's voice in the film. It's a huge success, and Lina is none the wiser.As the film's release approaches, Don begins a romance with budding actress Kathy Selden. Kathy is everything that Lina is not - talented, down-to-earth, and beautiful.On opening night, The Royal Rascal is a hit, and Lina's terrible voice is finally exposed. Don and Kathy are thrilled, and they ride off into the sunset together."
Your Name.,8.3,"248,395",https://www.imdb.com//title/tt5311514/,Makoto Shinkai,RyÃ»nosuke Kamiki,Mone Kamishiraishi,RyÃ´ Narita,"Mitsuha is a high school girl who lives in a small town in the countryside. She is tired of her life and wishes to be a handsome boy in Tokyo. One day, her wish comes true and she wakes up in the body of a boy named Taki. Taki is a high school boy who lives in Tokyo. He is surprised to find himself in Mitsuha's body, but he goes along with it. They switch bodies randomly and don't know when it will happen. They start to communicate with each other by leaving messages on their phones. As they get to know each other, they start to develop feelings for each other. However, they are unable to meet each other in person as they live in different places. One day, they find out that they will never be able to switch bodies again. They are heartbroken but decide to meet each other one last time. They finally meet and confess their feelings for each other. They spend one last day together before they go their separate ways."
Star Wars: Episode VI - Return of the Jedi,8.3,"1,018,710",https://www.imdb.com//title/tt0086190/,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,"The movie begins with Darth Vader and the Galactic Empire preparing to attack the Rebel Alliance's secret base on the forest moon of Endor. Vader has captured Luke Skywalker, who he plans to use as bait to trap Luke's friends and destroy the Rebel Alliance. Meanwhile, the Rebel fleet has massed near Endor in preparation for a final assault on the Empire's second Death Star. Luke Skywalker, Princess Leia, Han Solo, Chewbacca, and the droids R2-D2 and C-3PO are on a mission to Endor to destroy the Death Star's shield generator, allowing the Rebel fleet to attack and destroy the Death Star. They are accompanied by a squad of rebel commandos.On Endor, they are discovered by the Empire's stormtroopers, but they manage to escape and make their way to the shield generator. There, they are captured by a group of Ewoks, who mistake them for enemies. The Ewoks eventually realize that Luke, Leia, Han, and the others are friends, and they help them destroy the shield generator.With the Death Star's shield down, the Rebel fleet attacks and destroys the Death Star, dealing a crippling blow to the Empire. Darth Vader is killed in the battle, and Luke destroys the Emperor. With the Empire defeated, Luke and the others celebrate their victory."
3 Idiots,8.3,"384,638",https://www.imdb.com//title/tt1187043/,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,"The movie 3 Idiots is a story about 3 friends who are in college together and their journey through life. The friends are Raju, Farhan, and Rancho. They all have different dreams and aspirations, but they all want to change the world in their own way. The movie follows their journey as they face different challenges and obstacles in their quest to achieve their goals. Along the way, they learn valuable life lessons and discover what is truly important to them. In the end, they realize that the most important thing is not what they achieve, but who they become along the way."
2001: A Space Odyssey,8.3,"650,045",https://www.imdb.com//title/tt0062622/,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,The movie 2001: A Space Odyssey is about a space expedition that goes wrong. The crew of the spaceship is forced to land on a strange planet. They are then attacked by a group of aliens. The crew is able to fight off the aliens and make it back to their ship.
Reservoir Dogs,8.3,"988,244",https://www.imdb.com//title/tt0105236/,Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,"After a heist goes wrong, a group of criminals begin to suspect that one of their own is a police informant. Tensions mount as they try to figure out who the traitor is, and things quickly spiral out of control."
Eternal Sunshine of the Spotless Mind,8.3,"978,550",https://www.imdb.com//title/tt0338013/,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,"Eternal Sunshine of the Spotless Mind is a 2004 American romantic science fiction comedy-drama film directed by Michel Gondry and written by Charlie Kaufman. It follows an estranged couple who have erased each other from their memories, but begin to re-experience their past together as they start to remember what happened."
High and Low,8.3,"42,523",https://www.imdb.com//title/tt0057565/,Akira Kurosawa,ToshirÃ´ Mifune,Yutaka Sada,Tatsuya Nakadai,"When a wealthy man's son is kidnapped, he cooperates with the police to pay the ransom but is horrified to discover that the kidnappers have the wrong boy. Desperate to find his son, he employs a private detective to help him track down the kidnappers. As the search intensifies, the man begins to lose hope of ever finding his son alive."
Citizen Kane,8.3,"433,460",https://www.imdb.com//title/tt0033467/,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,"A group of reporters are investigating the life of Charles Foster Kane, a wealthy man who built his empire through shady business deals. They interview Kane's friends and enemies, and piecing together his life story. Kane was born into poverty, but was taken in by a wealthy family. He married a woman for her money, but she left him after she found out he was having an affair. Kane then married a woman who he truly loved, but she died in an accident. Kane was never the same after that, and his empire slowly crumbled. He died alone, and the reporters are left wondering what the last word he said meant."
Spider-Man: No Way Home,8.3,"602,873",https://www.imdb.com//title/tt10872600/,Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch,"Spider-Man: No Way Home is a 2021 American superhero film based on the Marvel Comics character Spider-Man, co-produced by Columbia Pictures and Marvel Studios, and distributed by Sony Pictures Releasing. It is the sequel to Spider-Man: Homecoming (2017) and Spider-Man: Far From Home (2019), and the 27th film in the Marvel Cinematic Universe (MCU). The film is directed by Jon Watts, written by Chris McKenna and Erik Sommers, and stars Tom Holland as Peter Parker / Spider-Man, alongside Zendaya, Jacob Batalon, Tony Revolori, Benedict Cumberbatch, Jamie Foxx, Alfred Molina, and Marisa Tomei. In Spider-Man: No Way Home, Parker is recruited by Doctor Strange to face Mysterio, who is revealed to be a multiverse villain.Development of a third Spider-Man film in the MCU began in June 2019, with Holland and Watts returning to direct and write, respectively. The following December, it was confirmed that the film would be titled Spider-Man: No Way Home, with McKenna and Sommers hired to write the screenplay. Production began in New York City in February 2021. Spider-Man: No Way Home is scheduled to be released in the United States on December 17, 2021, in IMAX."
Capernaum,8.3,"84,108",https://www.imdb.com//title/tt8267604/,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,"12-year-old Zain is a Beirut street kid who has never had an easy life. He's been in and out of jail for various petty crimes, and he's been mistreated by just about everyone he's ever encountered. When his younger sister is sold by their mother into marriage, Zain is finally pushed over the edge. He kidnaps his baby nephew and sets out on a journey to find a way out of the city and a better life for the child. Along the way, he meets a Ethiopian migrant worker named Rahil and her young son Yonas, and the three of them form an unlikely family. But things take a turn for the worse when Zain is arrested and thrown in jail, and it's up to Rahil and Yonas to find a way to get him out. Capernaum is a heart-wrenching story of survival and hope in the face of incredible odds."
Lawrence of Arabia,8.3,"287,350",https://www.imdb.com//title/tt0056172/,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,"The film tells the story of T.E. Lawrence, a British Army officer during World War I. Lawrence was sent to Arabia on a secret mission to help the Arab people overthrow the Ottoman Empire. Lawrence quickly becomes a leader among the Arabs and leads them in a series of daring attacks against the Turks. The Arabs are successful in driving the Turks out of Arabia and Lawrence becomes a hero."
M,8.3,"154,936",https://www.imdb.com//title/tt0022100/,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,"ementoMemento is a 2000 American neo-noir psychological thriller film written and directed by Christopher Nolan, and produced by Suzanne and Jennifer Todd. The film's script was based on a pitch by Jonathan Nolan, who later wrote the story ""Memento Mori"" from the concept. It stars Guy Pearce, Carrie-Anne Moss, and Joe Pantoliano. Pearce plays Leonard Shelby, a man with anterograde amnesia, which impairs his ability to form new memories, as he hunts for the man he believes raped and murdered his wife, which is the last thing he remembers. The two main sequences of the film are interwoven in such a way that they support each other. One is presented in black and white and is told in reverse chronological order (hence its title, ""Memento Mori""), and the other is in color and shown in chronological order."
North by Northwest,8.3,"320,949",https://www.imdb.com//title/tt0053125/,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,"In North by Northwest, Roger Thornhill, a successful advertising executive, is mistaken for a government agent and is pursued across the country by foreign spies. He is rescued by a beautiful woman, Eve Kendall, who turns out to be part of the plot against him. Thornhill eventually uncovers a plot to steal government secrets and thwart the spies."
The Hunt,8.3,"318,476",https://www.imdb.com//title/tt2106476/,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp," for Red OctoberIn the movie, a Soviet nuclear submarine is heading towards the U.S. coast carrying a nuclear missile. The submarine's captain, Marko Ramius, is a skilled and experienced officer who wants to defect to the United States. The Soviet government sends a team of assassins to kill him, but Ramius is one step ahead of them. He takes the submarine into American waters, where the U.S. Navy is dispatched to track it down. The Navy is led by Jack Ryan, a young analyst who has never been in combat before. As the two forces close in on each other, the stakes get higher and higher, until finally the submarine is surrounded by the U.S. Navy and forced to surface. Ramius and his crew are taken into custody, and the world is saved from a nuclear catastrophe."
Vertigo,8.2,"393,626",https://www.imdb.com//title/tt0052357/,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,"Alfred Hitchcock's Vertigo is the story of a man (James Stewart) who is haunted by the memory of a woman (Kim Novak) he once loved. After she dies, he is drawn to her doppelganger, a woman who looks exactly like her. As he tries to unravel the mystery of her death, he finds himself falling in love with her again."
AmÃ©lie,8.2,"742,028",https://www.imdb.com//title/tt0211915/,Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,"AmÃ©lie is a young woman who lives in Paris. She is an introvert and has a very active imagination. She spends her days working in a cafe and her nights exploring the city. She is content with her life until she meets a man named Nino. Nino is a photographer who is also an introvert. He is different from anyone she has ever met and she is immediately drawn to him. They become friends and AmÃ©lie starts to feel more alive than she ever has before. When Nino is diagnosed with cancer, AmÃ©lie is determined to make his last days the best of his life. She sets out on a mission to make everyone around her happy. In the process, she finds herself and learns to love life."
